,body,face,left_arm,right_arm,left_leg,right_leg
0,black,happy,normal,monkey,left,right
1,black,hi,normal,normal,left,right
2,green,hi,broken,up,left,right
3,black,cyclops,normal,monkey,left,right
4,black,happy,t-hand,trident,left,right
5,black,sad,normal,monkey,left,right
6,black,x,t-hand,monkey,left,right
7,black,spects,bow,up,left,right
8,black,cyclops,broken,normal,left,right
9,black,happy,broken,trident,left,right
10,black,spects,t-hand,up,left,right
11,black,hi,t-hand,trident,left,right
12,black,cyclops,bicep,triangle,left,right
13,black,hi,normal,up,left,right
14,black,cyclops,t-hand,trident,left,right
15,black,sad,bow,trident,left,right
16,black,happy,bow,normal,left,right
17,black,happy,broken,monkey,left,right
18,red,happy,normal,normal,left,right
19,yellow,happy,broken,monkey,left,right
20,black,x,bicep,monkey,left,right
21,black,sad,broken,up,left,right
22,black,cyclops,bow,triangle,left,right
23,black,spects,bicep,monkey,left,right
24,black,sad,bow,up,left,right
25,blue,happy,t-hand,trident,left,right
26,black,happy,bicep,trident,left,right
27,black,sad,bicep,normal,left,right
28,black,cyclops,bow,trident,left,right
29,black,spects,bow,trident,left,right
30,black,spects,broken,up,left,right
31,black,sad,bow,monkey,left,right
32,purple,happy,t-hand,trident,left,right
33,black,spects,t-hand,normal,left,right
34,black,happy,bow,up,left,right
35,black,spects,broken,trident,left,right
36,black,spects,broken,triangle,left,right
37,red,hi,bicep,up,left,right
38,black,cyclops,t-hand,triangle,left,right
39,black,sad,broken,triangle,left,right
40,black,happy,t-hand,up,left,right
41,black,sad,t-hand,monkey,left,right
42,black,sad,bow,triangle,left,right
43,black,happy,t-hand,normal,left,right
44,black,happy,bicep,monkey,left,right
45,black,cyclops,broken,monkey,left,right
46,black,happy,normal,up,left,right
47,black,sad,broken,trident,left,right
48,black,happy,normal,trident,left,right
49,black,spects,bicep,triangle,left,right
50,black,x,bicep,triangle,left,right
51,black,happy,bicep,normal,left,right
52,black,cyclops,broken,up,left,right
53,black,sad,bow,normal,left,right
54,black,happy,normal,triangle,left,right
55,black,spects,normal,normal,left,right
56,black,sad,bicep,triangle,left,right
57,black,spects,normal,up,left,right
